id, navn, pris_pr_tegn, 
1, Indh. m/ alm. farve, 65.0, 
2, Indh. m/ guld, 90.0, 
3, Indh. m/ guld i ru sten, 115.0, 
4, Faks. indh. m/ farve, 98.0, 
5, Faks. indh. m/ guld, 118.0, 
6, Indh. i egen sten- m/ alm. farve, 75.0, 
7, Indh. i egen sten- m/ alm. guld, 118.0, 
8, Håndtegnet & Håndhugget, 130.0, 
9, Håndtegnet & Sandblæste, 90.0, 
10, Bronce bogstaver, 75.0, 
11, Opmaling af eksisterende, 35.0, 
12, Oppudsning af Bronce, 55.0, 
13, Opforgyldning i pol. sten, 65.0, 
14, Opforgyldning i ru sten, 95.0, 
