vare_nr, navn, højde, bredde, indkøbspris, salgspris, typenavn, overflade, dekoration, vareStatus, grp_nr, type_id, 
1, Sort Svensk, 55, 32, 950.0, 3300.0, null, 2, true, 0, 1, null, 
2, Mørk Halmstad Hjerte, 54, 43, 850.0, 4600.0, null, 2, false, 1, 1, null, 
3, Lys Halmstad, 45, 36, 650.0, 3200.0, null, 2, true, 0, 1, null, 
4, Paradis, 43, 38, 700.0, 3200.0, null, 2, false, 0, 1, null, 
5, Orion, 54, 49, 800.0, 4700.0, null, 2, true, 0, 1, null, 
6, Orion, 43, 45, 800.0, 4100.0, null, 2, true, 0, 1, null, 
7, Lapland, 52, 43, 850.0, 3400.0, null, 1, false, 0, 1, null, 
8, Lys Multicolor, 58, 40, 650.0, 3200.0, null, 1, false, 0, 1, null, 
9, Lys Halmstad, 45, 34, 650.0, 3200.0, null, 2, false, 0, 1, null, 
10, Halmstad m/ true bånd, 53, 44, 800.0, 5400.0, null, 1, false, 0, 1, null, 
11, Halmstad, 53, 40, 800.0, 3200.0, null, 2, false, 0, 1, null, 
12, Auroa, 57, 40, 900.0, 3500.0, null, 2, false, 0, 1, null, 
13, Halmstad, 58, 39, 8000.0, 3300.0, null, 1, false, 0, 1, null, 
14, Wiscont White, 58, 42, 750.0, 3500.0, null, 1, false, 0, 1, null, 
15, Orion, 57, 39, 800.0, 3300.0, null, 1, false, 0, 1, null, 
16, Natursten m/ true bånd, 65, 50, 350.0, 3400.0, null, 1, false, 0, 1, null, 
17, Lys Multicolor, 49, 39, 650.0, 3200.0, null, 1, false, 0, 1, null, 
18, Sort Svensk, 50, 38, 950.0, 3800.0, null, 2, false, 0, 1, null, 
19, Wiscont White, 51, 41, 750.0, 3400.0, null, 1, false, 0, 1, null, 
20, Blue Pearl, 53, 34, 900.0, 3400.0, null, 2, false, 0, 1, null, 
21, Halmstad, 50, 38, 8000.0, 3200.0, null, 1, false, 0, 1, null, 
22, Natursten, 42, 33, 150.0, 2800.0, null, 1, false, 0, 1, null, 
23, Lys Halmstad, 46, 36, 650.0, 3200.0, null, 2, false, 0, 1, null, 
24, Auroa, 58, 37, 750.0, 3500.0, null, 2, true, 0, 1, null, 
25, Tolga, 56, 40, 600.0, 3300.0, null, 1, false, 0, 1, null, 
26, Halmstad, 53, 36, 470.0, 3200.0, null, 1, true, 0, 1, null, 
27, Halmstad m/true bånd, 44, 35, 470.0, 3200.0, null, 1, true, 0, 1, null, 
28, Rød Multicolor m/ true kant, 60, 40, 650.0, 3400.0, null, 1, false, 0, 1, null, 
29, Orion Urneplade, 60, 40, 850.0, 4500.0, null, 1, true, 0, 1, null, 
